"pic","word","condition","rt","accuracy","participant"
"carrot","drip","unrelated_med",444.0136,1,2
"fork","knight","mediated",521.8367,1,2
"coat","harbour","unrelated_med",460.9751,1,2
"whistle","mood","unrelated_med",565.737,1,2
"table","chair","category",594.6712,1,2
"mountain","flute","unrelated_cat",1720.1134,0,3
"harp","drug","mediated",547.7778,1,3
"car","truck","category",516.8481,0,3
"sheep","pill","mediated",506.8707,1,3
"flute","sock","unrelated_cat",620.6122,1,3
"plane","shin","mediated",565.737,1,3
"mouth","hanger","mediated",452.9932,1,3
"knife","camera","unrelated_med",527.8231,1,3
"table","coal","unrelated_med",775.2608,1,3
"ear","couch","unrelated_cat",479.932,1,3
"carrot","drip","unrelated_med",475.941,1,3
"leg","lemming","unrelated_med",492.9025,0,3
"drum","harbour","mediated",651.542,1,3
"sheep","car","unrelated_cat",495.8957,1,3
"ear","pearl","unrelated_med",551.7687,1,3
"truck","card","mediated",544.7846,1,3
"bed","soap","unrelated_med",670.4989,1,3
"chair","ham","unrelated_med",672.4943,1,3
"tie","hammer","unrelated_cat",491.9048,1,3
"lemon","whistle","unrelated_cat",486.9161,1,3
"star","moon","category",563.7415,1,3
"couch","bell","mediated",534.8073,0,3
"fork","house","unrelated_med",461.9728,1,3
"carrot","beach","mediated",468.9569,1,3
"sock","tie","category",581.7007,1,3
"mountain","lake","category",502.8798,1,3
"star","truffle","unrelated_med",675.4875,1,3
"hand","mouth","category",497.8912,1,3
"carrot","beans","category",426.0544,1,3
"beans","hamper","unrelated_med",571.7234,1,3
"couch","tide","unrelated_med",614.6259,0,3
"lemon","pear","category",563.7415,1,3
"plane","ship","category",624.6032,1,3
"carrot","leg","unrelated_cat",414.0816,1,3
"beans","carrot","category",549.7732,1,3
"horse","camera","mediated",518.8435,1,3
"bed","count","mediated",799.2063,1,3
"fork","knife","category",485.9184,1,3
"car","truffle","mediated",487.9138,1,3
"pig","truck","unrelated_cat",663.5147,1,3
"couch","bed","category",566.7347,0,3
"knife","fork","category",533.8095,1,3
"chair","tablet","mediated",755.3061,1,3
"horse","earth","unrelated_med",510.8617,1,3
"coat","ham","mediated",594.6712,1,3
"beans","ear","unrelated_cat",493.9002,1,3
"camel","horse","category",597.6644,1,3
"drum","mouse","unrelated_med",571.7234,1,3
"car","tablet","unrelated_med",543.7868,1,3
"sheep","pig","category",504.8753,1,3
"beans","carriage","mediated",719.3878,1,3
"chair","table","category",511.8594,1,3
"star","mood","mediated",627.5964,1,3
"lake","mountain","category",568.7302,1,3
"whistle","flute","category",590.6803,1,3
"hat","coal","mediated",540.7937,1,3
"mountain","shin","unrelated_med",551.7687,1,3
"hand","carriage","unrelated_med",416.0771,1,3
"sock","knife","unrelated_cat",436.0317,1,3
"harp","lace","unrelated_med",514.8526,1,3
"mouth","beach","unrelated_med",515.8503,1,3
"flute","whistle","category",552.7664,1,3
"ship","bell","unrelated_med",778.254,1,3
"camel","house","mediated",517.8458,1,3
"lemon","knight","unrelated_med",517.8458,1,3
"truck","mouth","unrelated_cat",722.381,1,3
"sheep","hanger","unrelated_med",376.1678,1,3
"drill","hamper","mediated",596.6667,1,3
"plane","count","unrelated_med",505.873,1,3
"ship","plane","category",566.7347,1,3
"pig","sheet","mediated",555.7596,1,3
"harp","lemon","unrelated_cat",443.0159,1,3
"drill","horse","unrelated_cat",619.6145,1,3
"pear","fort","unrelated_med",576.712,1,3
"hat","drill","unrelated_cat",423.0612,1,3
"couch","lake","unrelated_cat",459.9773,0,3
"moon","star","category",584.6939,0,3
"leg","beans","unrelated_cat",770.2721,1,3
"pear","harp","unrelated_cat",676.4853,1,3
"mouth","hand","category",487.9138,1,3
"hammer","pig","unrelated_cat",604.6485,1,3
"flute","stalk","unrelated_med",457.9819,1,3
"lake","chair","unrelated_cat",776.2585,1,3
"pear","lemming","mediated",528.8209,1,3
"mouth","tie","unrelated_cat",398.1179,1,3
"hammer","pill","unrelated_med",504.8753,1,3
"bed","couch","category",586.6893,1,3
"drum","pear","unrelated_cat",461.9728,1,3
"pig","sheep","category",619.6145,1,3
"table","chair","category",534.8073,0,3
"coat","harbour","unrelated_med",510.8617,1,3
"tie","fluid","unrelated_med",550.771,1,3
"hand","mound","mediated",479.932,1,3
"truck","chain","unrelated_med",464.966,1,3
"knife","fort","mediated",561.746,1,3
"table","chain","mediated",597.6644,0,3
"lake","card","unrelated_med",657.5283,1,3
"hat","drug","unrelated_med",632.585,1,3
"fork","coat","unrelated_cat",543.7868,1,3
"moon","table","unrelated_cat",879.0249,1,3
"coat","hat","category",534.8073,1,3
"lake","mouse","mediated",590.6803,1,3
"knife","camel","unrelated_cat",544.7846,1,3
"fork","knight","mediated",558.7528,1,3
"whistle","carrot","unrelated_cat",508.8662,1,3
"hammer","drip","mediated",475.941,1,3
"truck","car","category",761.2925,1,3
"ship","drum","unrelated_cat",588.6848,1,3
"tie","sock","category",537.8005,1,3
"horse","camel","category",494.898,1,3
"camel","plane","unrelated_cat",540.7937,1,3
"drill","sheet","unrelated_med",497.8912,1,3
"pig","mound","unrelated_med",905.9637,1,3
"tie","soap","mediated",533.8095,1,3
"pear","lemon","category",500.8844,1,3
"camel","legend","unrelated_med",477.9365,1,3
"harp","drum","category",492.9025,1,3
"moon","plant","unrelated_med",631.5873,1,3
"ship","plant","mediated",434.0363,1,3
"hat","coat","category",351.2245,1,3
"chair","moon","unrelated_cat",431.0431,1,3
"table","star","unrelated_cat",598.6621,1,3
"sock","tide","mediated",454.9887,1,3
"whistle","mood","unrelated_med",509.8639,1,3
"ear","leg","category",473.9456,1,3
"star","bed","unrelated_cat",621.61,1,3
"drum","harp","category",483.9229,1,3
"horse","ship","unrelated_cat",497.8912,1,3
"drill","hammer","category",509.8639,1,3
"car","hand","unrelated_cat",454.9887,1,3
"leg","earth","mediated",654.5351,1,3
"ear","legend","mediated",407.0975,1,3
"coat","fork","unrelated_cat",660.5215,1,3
"moon","stalk","mediated",561.746,1,3
"flute","whiskey","mediated",573.7188,1,3
"bed","mountain","unrelated_cat",581.7007,1,3
"lemon","pearl","mediated",467.9592,1,3
"plane","hat","unrelated_cat",604.6485,1,3
"leg","ear","category",558.7528,1,3
"mountain","lace","mediated",687.4603,1,3
"sock","whiskey","unrelated_med",462.9705,1,3
"hammer","drill","category",653.5374,1,3
"whistle","fluid","mediated",516.8481,1,3
"hand","sheep","unrelated_cat",600.6576,1,3
"hammer","drip","mediated",1343.9683,0,4
"lake","chair","unrelated_cat",855.0794,1,4
"horse","ship","unrelated_cat",748.322,1,4
"whistle","mood","unrelated_med",759.2971,1,4
"harp","drum","category",845.102,1,4
"ear","leg","category",752.3129,1,4
"hammer","pill","unrelated_med",891.9955,1,4
"truck","chain","unrelated_med",826.1451,1,4
"hat","coat","category",608.6395,1,4
"sheep","pig","category",1051.6327,1,4
"fork","house","unrelated_med",692.449,1,4
"hammer","drill","category",767.2789,1,4
"pig","sheep","category",915.941,1,4
"horse","earth","unrelated_med",786.2358,1,4
"plane","count","unrelated_med",626.5986,1,4
"beans","carriage","mediated",759.2971,1,4
"tie","fluid","unrelated_med",772.2676,1,4
"hand","carriage","unrelated_med",619.6145,1,4
"mouth","hand","category",638.5714,1,4
"truck","card","mediated",687.4603,1,4
"lake","mountain","category",677.483,1,4
"table","coal","unrelated_med",967.8231,1,4
"star","bed","unrelated_cat",625.6009,1,4
"mouth","hanger","mediated",539.7959,1,4
"whistle","carrot","unrelated_cat",813.1746,1,4
"pig","sheet","mediated",879.0249,1,4
"mountain","lace","mediated",821.1565,1,4
"knife","fork","category",830.1361,1,4
"mouth","tie","unrelated_cat",632.585,1,4
"harp","lace","unrelated_med",776.2585,1,4
"leg","earth","mediated",888.0045,1,4
"bed","couch","category",1429.7732,1,4
"lemon","knight","unrelated_med",991.7687,1,4
"table","star","unrelated_cat",810.1814,1,4
"flute","sock","unrelated_cat",762.2902,1,4
"car","truffle","mediated",746.3265,1,4
"knife","fort","mediated",935.8957,1,4
"coat","fork","unrelated_cat",835.1247,1,4
"hat","coal","mediated",668.5034,1,4
"camel","house","mediated",818.1633,1,4
"leg","lemming","unrelated_med",735.3515,1,4
"car","tablet","unrelated_med",692.449,1,4
"lemon","pearl","mediated",834.127,1,4
"drill","hamper","mediated",813.1746,1,4
"pear","lemon","category",1007.7324,1,4
"star","moon","category",642.5624,1,4
"hand","mound","mediated",758.2993,1,4
"sheep","car","unrelated_cat",786.2358,1,4
"harp","lemon","unrelated_cat",643.5601,1,4
"pear","fort","unrelated_med",740.3401,1,4
"moon","stalk","mediated",1119.4785,1,4
"truck","mouth","unrelated_cat",715.3968,1,4
"plane","shin","mediated",625.6009,1,4
"couch","tide","unrelated_med",986.78,1,4
"ship","bell","unrelated_med",848.0952,1,4
"leg","ear","category",781.2472,1,4
"coat","harbour","unrelated_med",776.2585,1,4
"sock","whiskey","unrelated_med",804.195,1,4
"couch","lake","unrelated_cat",647.551,1,4
"ship","drum","unrelated_cat",894.9887,1,4
"chair","ham","unrelated_med",806.1905,1,4
"drill","hammer","category",771.2698,1,4
"moon","table","unrelated_cat",727.3696,1,4
"hand","mouth","category",646.5533,1,4
"mountain","shin","unrelated_med",721.3832,1,4
"whistle","fluid","mediated",744.3311,1,4
"pear","harp","unrelated_cat",921.9274,1,4
"hat","drill","unrelated_cat",602.6531,1,4
"fork","knife","category",867.0522,1,4
"hand","sheep","unrelated_cat",696.4399,1,4
"mountain","flute","unrelated_cat",675.4875,1,4
"horse","camel","category",967.8231,1,4
"bed","soap","unrelated_med",1059.6145,1,4
"fork","coat","unrelated_cat",761.2925,1,4
"knife","camera","unrelated_med",749.3197,1,4
"star","mood","mediated",731.3605,1,4
"beans","ear","unrelated_cat",704.4218,1,4
"flute","stalk","unrelated_med",738.3447,1,4
"drum","pear","unrelated_cat",708.4127,1,4
"pig","mound","unrelated_med",903.9683,1,4
"lemon","whistle","unrelated_cat",753.3107,1,4
"beans","hamper","unrelated_med",913.9456,1,4
"flute","whiskey","mediated",720.3855,1,4
"ear","couch","unrelated_cat",756.3039,1,4
"drill","sheet","unrelated_med",760.2948,1,4
"camel","legend","unrelated_med",852.0862,1,4
"sock","tie","category",720.3855,1,4
"carrot","beans","category",1018.7075,0,4
"mouth","beach","unrelated_med",638.5714,1,4
"chair","table","category",997.7551,1,4
"star","truffle","unrelated_med",705.4195,1,4
"drum","harbour","mediated",888.0045,1,4
"table","chair","category",1062.6077,1,4
"carrot","leg","unrelated_cat",757.3016,1,4
"ear","legend","mediated",725.3741,1,4
"chair","moon","unrelated_cat",838.1179,1,4
"beans","carrot","category",562.7438,1,4
"drum","harp","category",780.2494,1,4
"lake","mouse","mediated",700.4308,1,4
